text,label
"rt @user olha quem chegouuuuu, nossos queridinhos!!! vem na minha direção 🤩

fem 👧: 10/15
masc 👦: 25/40

#qqmt https://t.co/jivoqeuq…",0
se eu malhar hoje eu malho qualquer dia pq olha...,0
@user exatamente! quer me dar desconto me fala pelo menos metade do preco ou 2 por 1,0
@user kskskskkskks pqp,1
"@user tem uma tal de escola superior de guerra, serve pra que mesmo ?",0
"rt @user queria ganhar uma florzinha, acho tão lindinho porem nunk me aconteceu e nunk vai acontecer",0
rt @user @user sarneia puto,1
"mulherão da porra,eu sou. https://t.co/hspn3y7imy",0
"@user @user @user Por falar em despreparo, que dia chega o Rafael Carioca? 
O 8 e o 10 também? 
Atirar é fácil, difícil é olhar pro próprio rabo...",0
"Minha mãe pegou meu pc e falou pra eu colocar a senha ""entra aqui Ryan"" aí eu ""entra aqui aonde?""
Ela chegou como ""você é uma pessoa mal amada, gosta de fazer nada pros outros"".
Eu fiquei tipo ¿?",0
"@user @user @user eh q uma pessoa suicida não significa q ela já morreu, é alguém c pensamentos suicidas e tem vontade de cometer o ato. palavras de uma ex suicide girl 🥰🥰🥰 MKKKKKKKKKKKKKKKK",0
n茫o me agrado de nenhum icon,0
rt @user carai tenho mt medo de jacare,0
"tomei uma cerveja na hora do almoço, tô pensando nela até agora. 🤤🤤🤤",0
"rt @user crente que ia sair hoje, mas chovendo assim nem rola 😒",0
eu venho na rua com minha família e eles cismam cmg e @user  pqp mereço 🙄❤️,1
"#nasruascontrastf 
@user vergonha nacional
vergonha nacional
vergonha nacional",0
"@user 

• primeira impressão: metida pra carai
• seu apelido: Taii
• proximidade: 90%
• uma lembrança: a não sei kk
• eu gosto de você: amoo
• pra ser honesto: temos que sair",0
2 anos de havana e do hino injustiçado omg???? pqp,0
menos eu,0
Ribeiro certeza que quem ta mandando essas perguntas é teu próprio ex se fosse tu nem respondia mais — eu tava pensando o mesmo lkkkkkkkkkkkk https://t.co/lLqzPFhUz5,0
"rt @user perai, ele mandava nuds do cu? kkkk gente isso 茅 um surto coletivo? amadeu o que voc锚 colocou na 谩gua? https://t.co/oh2xs鈥�",1
"@user meninaaaa ta fodaa
sdds sapatão",1
"@user Tem uma técnica com sacolas/saco de lixo aplicado com pressão a vácuo que o zelador do prédio uma vez fez aqui… joga no YouTube, era bem simples!",0
"rt @user 1 semana  c dor de cabeça
3 dias com ânsia

se eu n fosse sapatao eu diria q estou grávida",0
sei lá o jeito que eu me iludo com quem não vale a pena é diferente :(,0
"@user @user a ancine só serve de cabide de emprego e propagação do lixo ""cultural"" da esquerda.",1
post mais sincero do dia,0
"@user meu amorzinho...
Eu não tenho palavras pra agradecer por ter você comigo. Só me resta desejar que os bons ventos estejam sempre passando pela sua vida, deixando muita alegria, paz e saúde. Quem tem você por perto tem uma puta sorte.
Te amo e feliz aniversário, vida ❤",1
rt @user mais uma foto com o amor da minha vida 馃槏 https://t.co/3epcebk0kw,0
sexta dessa e eu só tenho 50 reais,0
"@user aaa sim, mas eu falo burro pelo jhonatan pq isso pode dar problema pra ele pq o acordo foi não expor a madah de nenhum jeito",1
que porra de passinho chegou no sul velho perguntei???,0
rt @user pago pra ver. #forarodrigomaia https://t.co/re5mgllybp,0
@user @user kkkkkkkkkkkkkk anão oc deve ser pior que eu mil vezes,0
"fico indignado que aqui só tem role sertanejo, vai tomar no cu",1
"foste o teu pior inimigo quando à 5 meses atrás vieste para o twitter chamar-me de puta porque não te dei o que querias, quando fazias os teus amigos pensarem que eu e tu tínhamos alguma cena quando não tinhamos nada https://t.co/y7wCiyztmA",1
caralho hoje o dia tinha tudo pra dar certo e com certeza vai dar tudo errado vsfd,0
"@user eae filha das puta, to de shorts",1
perceber que vc está triste para agradar alguem é um lixo,1
caralho filha da puta arrombado eu tava no meio do restaurante vai dar a bunda irmão ta todo mundo me olhando,1
@user gr锚mio por ser copeiro e ter uma camisa bonita pra caralho,0
"mds os fãs do bts espumando nas minhas mentions so porque postei falando que justin e o homem mais lindo do mundo kkkķkk mo??? Não sabe respeitar a opinião alheia??? se vc não concorda e acha tal famoso mais bonito e opinião sua, então respeita a dos outroskkkk",0
@user pqp mo forças,0
rt @user vai se foder to muito triste,1
"mano eu sou um lixo, quebrei meu celular caralhoooo eu quero morrer não faço nada direito nessa vida pqp",1
@user congela o cu mano,1
odeio gente q nunca assiste vôlei e fica me enchendo o saco nessa porra quando passa na globo,0
"pietro só sabe comer e peidar, pqp",1
simulado sábado à tarde qr me fuder me beija,1
